timestamp,start_time,datetime,fundingRate
2024-01-08 00:00:00,1704672000000,2024-01-08 00:00:00,0.01
2024-01-08 01:00:00,1704675600000,2024-01-08 01:00:00,0.01
2024-01-08 02:00:00,1704679200000,2024-01-08 02:00:00,0.01
2024-01-08 03:00:00,1704682800000,2024-01-08 03:00:00,0.01
2024-01-08 04:00:00,1704686400000,2024-01-08 04:00:00,0.01
2024-01-08 05:00:00,1704690000000,2024-01-08 05:00:00,0.01
2024-01-08 06:00:00,1704693600000,2024-01-08 06:00:00,0.01
2024-01-08 07:00:00,1704697200000,2024-01-08 07:00:00,0.01
2024-01-08 08:00:00,1704700800000,2024-01-08 08:00:00,0.01
2024-01-08 09:00:00,1704704400000,2024-01-08 09:00:00,0.01
2024-01-08 10:00:00,1704708000000,2024-01-08 10:00:00,0.01
2024-01-08 11:00:00,1704711600000,2024-01-08 11:00:00,0.01
2024-01-08 12:00:00,1704715200000,2024-01-08 12:00:00,0.01
2024-01-08 13:00:00,1704718800000,2024-01-08 13:00:00,0.01
2024-01-08 14:00:00,1704722400000,2024-01-08 14:00:00,0.01
2024-01-08 15:00:00,1704726000000,2024-01-08 15:00:00,0.01
2024-01-08 16:00:00,1704729600000,2024-01-08 16:00:00,0.01
2024-01-08 17:00:00,1704733200000,2024-01-08 17:00:00,0.01
2024-01-08 18:00:00,1704736800000,2024-01-08 18:00:00,0.01
2024-01-08 19:00:00,1704740400000,2024-01-08 19:00:00,0.01
2024-01-08 20:00:00,1704744000000,2024-01-08 20:00:00,0.01
2024-01-08 21:00:00,1704747600000,2024-01-08 21:00:00,0.01
2024-01-08 22:00:00,1704751200000,2024-01-08 22:00:00,0.01
2024-01-08 23:00:00,1704754800000,2024-01-08 23:00:00,0.01
2024-01-09 00:00:00,1704758400000,2024-01-09 00:00:00,0.01
2024-01-09 01:00:00,1704762000000,2024-01-09 01:00:00,0.01
2024-01-09 02:00:00,1704765600000,2024-01-09 02:00:00,0.01
2024-01-09 03:00:00,1704769200000,2024-01-09 03:00:00,0.01
2024-01-09 04:00:00,1704772800000,2024-01-09 04:00:00,0.01
2024-01-09 05:00:00,1704776400000,2024-01-09 05:00:00,0.01
2024-01-09 06:00:00,1704780000000,2024-01-09 06:00:00,0.01
2024-01-09 07:00:00,1704783600000,2024-01-09 07:00:00,0.01
2024-01-09 08:00:00,1704787200000,2024-01-09 08:00:00,0.01
2024-01-09 09:00:00,1704790800000,2024-01-09 09:00:00,0.01
2024-01-09 10:00:00,1704794400000,2024-01-09 10:00:00,0.01
2024-01-09 11:00:00,1704798000000,2024-01-09 11:00:00,0.01
2024-01-09 12:00:00,1704801600000,2024-01-09 12:00:00,0.01
2024-01-09 13:00:00,1704805200000,2024-01-09 13:00:00,0.01
2024-01-09 14:00:00,1704808800000,2024-01-09 14:00:00,0.01
2024-01-09 15:00:00,1704812400000,2024-01-09 15:00:00,0.01
2024-01-09 16:00:00,1704816000000,2024-01-09 16:00:00,0.01
2024-01-09 17:00:00,1704819600000,2024-01-09 17:00:00,0.01
2024-01-09 18:00:00,1704823200000,2024-01-09 18:00:00,0.01
2024-01-09 19:00:00,1704826800000,2024-01-09 19:00:00,0.01
2024-01-09 20:00:00,1704830400000,2024-01-09 20:00:00,0.01
2024-01-09 21:00:00,1704834000000,2024-01-09 21:00:00,0.01
2024-01-09 22:00:00,1704837600000,2024-01-09 22:00:00,0.01
2024-01-09 23:00:00,1704841200000,2024-01-09 23:00:00,0.01
2024-01-10 00:00:00,1704844800000,2024-01-10 00:00:00,0.01
2024-01-10 01:00:00,1704848400000,2024-01-10 01:00:00,0.01
2024-01-10 02:00:00,1704852000000,2024-01-10 02:00:00,0.01
2024-01-10 03:00:00,1704855600000,2024-01-10 03:00:00,0.01
2024-01-10 04:00:00,1704859200000,2024-01-10 04:00:00,0.01
2024-01-10 05:00:00,1704862800000,2024-01-10 05:00:00,0.01
2024-01-10 06:00:00,1704866400000,2024-01-10 06:00:00,0.01
2024-01-10 07:00:00,1704870000000,2024-01-10 07:00:00,0.01
2024-01-10 08:00:00,1704873600000,2024-01-10 08:00:00,0.01
2024-01-10 09:00:00,1704877200000,2024-01-10 09:00:00,0.01
2024-01-10 10:00:00,1704880800000,2024-01-10 10:00:00,0.01
2024-01-10 11:00:00,1704884400000,2024-01-10 11:00:00,0.01
2024-01-10 12:00:00,1704888000000,2024-01-10 12:00:00,0.01
2024-01-10 13:00:00,1704891600000,2024-01-10 13:00:00,0.01
2024-01-10 14:00:00,1704895200000,2024-01-10 14:00:00,0.01
2024-01-10 15:00:00,1704898800000,2024-01-10 15:00:00,0.01
2024-01-10 16:00:00,1704902400000,2024-01-10 16:00:00,0.01
2024-01-10 17:00:00,1704906000000,2024-01-10 17:00:00,0.01
2024-01-10 18:00:00,1704909600000,2024-01-10 18:00:00,0.01
2024-01-10 19:00:00,1704913200000,2024-01-10 19:00:00,0.01
2024-01-10 20:00:00,1704916800000,2024-01-10 20:00:00,0.01
2024-01-10 21:00:00,1704920400000,2024-01-10 21:00:00,0.01
2024-01-10 22:00:00,1704924000000,2024-01-10 22:00:00,0.01
2024-01-10 23:00:00,1704927600000,2024-01-10 23:00:00,0.01
2024-01-11 00:00:00,1704931200000,2024-01-11 00:00:00,0.01
2024-01-11 01:00:00,1704934800000,2024-01-11 01:00:00,0.01
2024-01-11 02:00:00,1704938400000,2024-01-11 02:00:00,0.01
2024-01-11 03:00:00,1704942000000,2024-01-11 03:00:00,0.01
2024-01-11 04:00:00,1704945600000,2024-01-11 04:00:00,0.01
2024-01-11 05:00:00,1704949200000,2024-01-11 05:00:00,0.01
2024-01-11 06:00:00,1704952800000,2024-01-11 06:00:00,0.01
2024-01-11 07:00:00,1704956400000,2024-01-11 07:00:00,0.01
2024-01-11 08:00:00,1704960000000,2024-01-11 08:00:00,0.01
2024-01-11 09:00:00,1704963600000,2024-01-11 09:00:00,0.01
